"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature"
"1/1/1979","-58.4375","-34.5013008117676","-9999","26.648","17.823",
"1/2/1979","-58.4375","-34.5013008117676","-9999","28.176","19.23",
"1/3/1979","-58.4375","-34.5013008117676","-9999","22.786","17.454",
"1/4/1979","-58.4375","-34.5013008117676","-9999","23.645","16.619",
"1/5/1979","-58.4375","-34.5013008117676","-9999","25.992","18.271",
"1/6/1979","-58.4375","-34.5013008117676","-9999","25.288","18.418",
"1/7/1979","-58.4375","-34.5013008117676","-9999","28.157","17.825",
"1/8/1979","-58.4375","-34.5013008117676","-9999","28.752","19.226",
"1/9/1979","-58.4375","-34.5013008117676","-9999","29.798","20.946",
"1/10/1979","-58.4375","-34.5013008117676","-9999","32.254","22.02",
"1/11/1979","-58.4375","-34.5013008117676","-9999","33.876","23.653",
"1/12/1979","-58.4375","-34.5013008117676","-9999","33.118","25.127",
"1/13/1979","-58.4375","-34.5013008117676","-9999","29.586","21.934",
"1/14/1979","-58.4375","-34.5013008117676","-9999","30.39","20.331",
"1/15/1979","-58.4375","-34.5013008117676","-9999","31.223","22.344",
"1/16/1979","-58.4375","-34.5013008117676","-9999","31.137","22.669",
"1/17/1979","-58.4375","-34.5013008117676","-9999","30.56","23.159",
"1/18/1979","-58.4375","-34.5013008117676","-9999","27.661","21.586",
"1/19/1979","-58.4375","-34.5013008117676","-9999","30.231","21.964",
"1/20/1979","-58.4375","-34.5013008117676","-9999","29.921","22.699",
"1/21/1979","-58.4375","-34.5013008117676","-9999","30.05","22.625",
"1/22/1979","-58.4375","-34.5013008117676","-9999","31.264","21.645",
"1/23/1979","-58.4375","-34.5013008117676","-9999","33.003","21.865",
"1/24/1979","-58.4375","-34.5013008117676","-9999","32.311","23.258",
"1/25/1979","-58.4375","-34.5013008117676","-9999","31.15","22.409",
"1/26/1979","-58.4375","-34.5013008117676","-9999","33.167","21.983",
"1/27/1979","-58.4375","-34.5013008117676","-9999","26.27","18.983",
"1/28/1979","-58.4375","-34.5013008117676","-9999","26.874","17.298",
"1/29/1979","-58.4375","-34.5013008117676","-9999","31.213","16.329",
"1/30/1979","-58.4375","-34.5013008117676","-9999","26.455","18.52",
"1/31/1979","-58.4375","-34.5013008117676","-9999","29.861","17.505",
"2/1/1979","-58.4375","-34.5013008117676","-9999","31.354","20.316",
"2/2/1979","-58.4375","-34.5013008117676","-9999","33.081","21.628",
"2/3/1979","-58.4375","-34.5013008117676","-9999","36.293","23.757",
"2/4/1979","-58.4375","-34.5013008117676","-9999","30.278","23.162",
"2/5/1979","-58.4375","-34.5013008117676","-9999","31.759","20.388",
"2/6/1979","-58.4375","-34.5013008117676","-9999","30.618","22.746",
"2/7/1979","-58.4375","-34.5013008117676","-9999","29.12","20.115",
"2/8/1979","-58.4375","-34.5013008117676","-9999","27.912","18.408",
"2/9/1979","-58.4375","-34.5013008117676","-9999","31.518","18.363",
"2/10/1979","-58.4375","-34.5013008117676","-9999","31.085","21.789",
"2/11/1979","-58.4375","-34.5013008117676","-9999","30.836","20.963",
"2/12/1979","-58.4375","-34.5013008117676","-9999","34.675","21.708",
"2/13/1979","-58.4375","-34.5013008117676","-9999","34.627","23.244",
"2/14/1979","-58.4375","-34.5013008117676","-9999","34.311","21.28",
"2/15/1979","-58.4375","-34.5013008117676","-9999","28.202","21.333",
"2/16/1979","-58.4375","-34.5013008117676","-9999","26.96","20.704",
"2/17/1979","-58.4375","-34.5013008117676","-9999","29.046","20.81",
"2/18/1979","-58.4375","-34.5013008117676","-9999","29.935","21.585",
"2/19/1979","-58.4375","-34.5013008117676","-9999","28.734","18.83",
"2/20/1979","-58.4375","-34.5013008117676","-9999","27.908","18.307",
"2/21/1979","-58.4375","-34.5013008117676","-9999","29.24","15.748",
"2/22/1979","-58.4375","-34.5013008117676","-9999","28.658","17.323",
"2/23/1979","-58.4375","-34.5013008117676","-9999","30.263","19.384",
"2/24/1979","-58.4375","-34.5013008117676","-9999","31.878","21.279",
"2/25/1979","-58.4375","-34.5013008117676","-9999","35.492","21.674",
"2/26/1979","-58.4375","-34.5013008117676","-9999","30.008","18.431",
"2/27/1979","-58.4375","-34.5013008117676","-9999","34.267","21.469",
"2/28/1979","-58.4375","-34.5013008117676","-9999","25.348","15.774",
"3/1/1979","-58.4375","-34.5013008117676","-9999","27.725","11.502",
"3/2/1979","-58.4375","-34.5013008117676","-9999","29.284","16.659",
"3/3/1979","-58.4375","-34.5013008117676","-9999","31.229","20.725",
"3/4/1979","-58.4375","-34.5013008117676","-9999","25.166","22.878",
"3/5/1979","-58.4375","-34.5013008117676","-9999","27.576","21.898",
"3/6/1979","-58.4375","-34.5013008117676","-9999","30.548","18.839",
"3/7/1979","-58.4375","-34.5013008117676","-9999","22.141","14.443",
"3/8/1979","-58.4375","-34.5013008117676","-9999","23.465","14.562",
"3/9/1979","-58.4375","-34.5013008117676","-9999","23.351","15.646",
"3/10/1979","-58.4375","-34.5013008117676","-9999","24.751","16.282",
"3/11/1979","-58.4375","-34.5013008117676","-9999","24.002","17.812",
"3/12/1979","-58.4375","-34.5013008117676","-9999","23.937","17.86",
"3/13/1979","-58.4375","-34.5013008117676","-9999","25.844","19.005",
"3/14/1979","-58.4375","-34.5013008117676","-9999","25.528","18.556",
"3/15/1979","-58.4375","-34.5013008117676","-9999","26.767","17.134",
"3/16/1979","-58.4375","-34.5013008117676","-9999","27.557","18.246",
"3/17/1979","-58.4375","-34.5013008117676","-9999","27.138","17.026",
"3/18/1979","-58.4375","-34.5013008117676","-9999","28.398","19.783",
"3/19/1979","-58.4375","-34.5013008117676","-9999","28.955","20.49",
"3/20/1979","-58.4375","-34.5013008117676","-9999","25.984","20.215",
"3/21/1979","-58.4375","-34.5013008117676","-9999","19.219","15.327",
"3/22/1979","-58.4375","-34.5013008117676","-9999","17.239","12.673",
"3/23/1979","-58.4375","-34.5013008117676","-9999","19.105","14.062",
"3/24/1979","-58.4375","-34.5013008117676","-9999","20.14","14.321",
"3/25/1979","-58.4375","-34.5013008117676","-9999","23.505","14.529",
"3/26/1979","-58.4375","-34.5013008117676","-9999","23.256","15.63",
"3/27/1979","-58.4375","-34.5013008117676","-9999","24.09","17.168",
"3/28/1979","-58.4375","-34.5013008117676","-9999","22.795","15.291",
"3/29/1979","-58.4375","-34.5013008117676","-9999","25.173","14.389",
"3/30/1979","-58.4375","-34.5013008117676","-9999","18.949","17.023",
"3/31/1979","-58.4375","-34.5013008117676","-9999","25.269","17.376",
"4/1/1979","-58.4375","-34.5013008117676","-9999","23.905","17.501",
"4/2/1979","-58.4375","-34.5013008117676","-9999","24.227","14.314",
"4/3/1979","-58.4375","-34.5013008117676","-9999","18.94","12.333",
