"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature"
"1/1/1979","18.4375","-33.8768005371094","-9999","21.633","16.658",
"1/2/1979","18.4375","-33.8768005371094","-9999","20.021","16.427",
"1/3/1979","18.4375","-33.8768005371094","-9999","23.848","15.284",
"1/4/1979","18.4375","-33.8768005371094","-9999","26.907","15.885",
"1/5/1979","18.4375","-33.8768005371094","-9999","26.056","17.991",
"1/6/1979","18.4375","-33.8768005371094","-9999","24.689","18.468",
"1/7/1979","18.4375","-33.8768005371094","-9999","25.031","18.18",
"1/8/1979","18.4375","-33.8768005371094","-9999","28.958","17.373",
"1/9/1979","18.4375","-33.8768005371094","-9999","27.124","18.519",
"1/10/1979","18.4375","-33.8768005371094","-9999","21.851","17.083",
"1/11/1979","18.4375","-33.8768005371094","-9999","22.218","15.454",
"1/12/1979","18.4375","-33.8768005371094","-9999","19.349","14.647",
"1/13/1979","18.4375","-33.8768005371094","-9999","21.075","13.016",
"1/14/1979","18.4375","-33.8768005371094","-9999","22.75","15.479",
"1/15/1979","18.4375","-33.8768005371094","-9999","21.881","16.172",
"1/16/1979","18.4375","-33.8768005371094","-9999","19.194","16.037",
"1/17/1979","18.4375","-33.8768005371094","-9999","23.313","14.666",
"1/18/1979","18.4375","-33.8768005371094","-9999","22.152","16.422",
"1/19/1979","18.4375","-33.8768005371094","-9999","21.622","14.714",
"1/20/1979","18.4375","-33.8768005371094","-9999","17.488","14.824",
"1/21/1979","18.4375","-33.8768005371094","-9999","20.997","14.591",
"1/22/1979","18.4375","-33.8768005371094","-9999","28.481","15.153",
"1/23/1979","18.4375","-33.8768005371094","-9999","33.675","19.459",
"1/24/1979","18.4375","-33.8768005371094","-9999","29.215","19.452",
"1/25/1979","18.4375","-33.8768005371094","-9999","22.675","16.752",
"1/26/1979","18.4375","-33.8768005371094","-9999","22.121","16.301",
"1/27/1979","18.4375","-33.8768005371094","-9999","23.56","16.572",
"1/28/1979","18.4375","-33.8768005371094","-9999","22.854","17.36",
"1/29/1979","18.4375","-33.8768005371094","-9999","22.59","17.086",
"1/30/1979","18.4375","-33.8768005371094","-9999","27.358","19.125",
"1/31/1979","18.4375","-33.8768005371094","-9999","29.937","18.608",
"2/1/1979","18.4375","-33.8768005371094","-9999","26.91","19.258",
"2/2/1979","18.4375","-33.8768005371094","-9999","30.343","19.515",
"2/3/1979","18.4375","-33.8768005371094","-9999","26.633","19.212",
"2/4/1979","18.4375","-33.8768005371094","-9999","25.279","19.206",
"2/5/1979","18.4375","-33.8768005371094","-9999","23.336","18.617",
"2/6/1979","18.4375","-33.8768005371094","-9999","24.766","18.222",
"2/7/1979","18.4375","-33.8768005371094","-9999","20.651","16.587",
"2/8/1979","18.4375","-33.8768005371094","-9999","22.447","15.832",
"2/9/1979","18.4375","-33.8768005371094","-9999","22.707","16.915",
