"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature"
"1/1/1979","3.4375","6.40069007873535","-9999","28.735","25.553",
"1/2/1979","3.4375","6.40069007873535","-9999","29.353","25.533",
"1/3/1979","3.4375","6.40069007873535","-9999","29","24.668",
"1/4/1979","3.4375","6.40069007873535","-9999","28.841","24.49",
"1/5/1979","3.4375","6.40069007873535","-9999","28.883","25.942",
"1/6/1979","3.4375","6.40069007873535","-9999","29.212","25.784",
"1/7/1979","3.4375","6.40069007873535","-9999","29.636","25.798",
"1/8/1979","3.4375","6.40069007873535","-9999","29.231","26.121",
"1/9/1979","3.4375","6.40069007873535","-9999","28.764","26.023",
"1/10/1979","3.4375","6.40069007873535","-9999","29.112","26.284",
"1/11/1979","3.4375","6.40069007873535","-9999","29.117","26.061",
"1/12/1979","3.4375","6.40069007873535","-9999","28.417","26.38",
"1/13/1979","3.4375","6.40069007873535","-9999","29.598","25.827",
"1/14/1979","3.4375","6.40069007873535","-9999","29.486","26.264",
"1/15/1979","3.4375","6.40069007873535","-9999","29.2","26.397",
"1/16/1979","3.4375","6.40069007873535","-9999","29.116","26.35",
"1/17/1979","3.4375","6.40069007873535","-9999","29.685","25.92",
"1/18/1979","3.4375","6.40069007873535","-9999","29.496","25.064",
"1/19/1979","3.4375","6.40069007873535","-9999","29.595","25.368",
"1/20/1979","3.4375","6.40069007873535","-9999","29.773","25.516",
"1/21/1979","3.4375","6.40069007873535","-9999","29.278","25.725",
"1/22/1979","3.4375","6.40069007873535","-9999","29.136","26.027",
"1/23/1979","3.4375","6.40069007873535","-9999","29.459","25.902",
"1/24/1979","3.4375","6.40069007873535","-9999","29.321","26.048",
"1/25/1979","3.4375","6.40069007873535","-9999","29.606","25.876",
"1/26/1979","3.4375","6.40069007873535","-9999","29.89","25.702",
"1/27/1979","3.4375","6.40069007873535","-9999","29.459","25.84",
"1/28/1979","3.4375","6.40069007873535","-9999","29.431","25.602",
"1/29/1979","3.4375","6.40069007873535","-9999","29.044","26.29",
"1/30/1979","3.4375","6.40069007873535","-9999","28.144","26.42",
"1/31/1979","3.4375","6.40069007873535","-9999","28.786","26.646",
"2/1/1979","3.4375","6.40069007873535","-9999","29.138","26.539",
"2/2/1979","3.4375","6.40069007873535","-9999","28.671","26.359",
"2/3/1979","3.4375","6.40069007873535","-9999","29.058","26.356",
"2/4/1979","3.4375","6.40069007873535","-9999","28.501","25.998",
"2/5/1979","3.4375","6.40069007873535","-9999","29.119","26.293",
"2/6/1979","3.4375","6.40069007873535","-9999","28.825","26.597",
