"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature"
"1/1/1979","-80.3125","25.7588996887207","2","25.148","22.397",
"1/2/1979","-80.3125","25.7588996887207","2","26.727","13.832",
"1/3/1979","-80.3125","25.7588996887207","2","14.302","5.84899999999999",
"1/4/1979","-80.3125","25.7588996887207","2","18.346","13.761",
"1/5/1979","-80.3125","25.7588996887207","2","21.963","18.341",
"1/6/1979","-80.3125","25.7588996887207","2","24.356","19.347",
"1/7/1979","-80.3125","25.7588996887207","2","25.815","20.72",
"1/8/1979","-80.3125","25.7588996887207","2","26.479","21.03",
"1/9/1979","-80.3125","25.7588996887207","2","20.589","17.147",
"1/10/1979","-80.3125","25.7588996887207","2","20.529","17.152",
"1/11/1979","-80.3125","25.7588996887207","2","24.188","19.033",
"1/12/1979","-80.3125","25.7588996887207","2","25.714","21.845",
"1/13/1979","-80.3125","25.7588996887207","2","25.757","21.271",
"1/14/1979","-80.3125","25.7588996887207","2","27.444","20.891",
"1/15/1979","-80.3125","25.7588996887207","2","19.715","14.303",
"1/16/1979","-80.3125","25.7588996887207","2","23.559","19.817",
"1/17/1979","-80.3125","25.7588996887207","2","24.559","19.964",
"1/18/1979","-80.3125","25.7588996887207","2","24.45","18.75",
"1/19/1979","-80.3125","25.7588996887207","2","23.785","18.284",
"1/20/1979","-80.3125","25.7588996887207","2","26.292","20.54",
"1/21/1979","-80.3125","25.7588996887207","2","24.56","16.933",
"1/22/1979","-80.3125","25.7588996887207","2","17.998","14.701",
"1/23/1979","-80.3125","25.7588996887207","2","21.234","15.582",
"1/24/1979","-80.3125","25.7588996887207","2","24.802","14.195",
"1/25/1979","-80.3125","25.7588996887207","2","15.995","9.827",
"1/26/1979","-80.3125","25.7588996887207","2","19.849","10.809",
"1/27/1979","-80.3125","25.7588996887207","2","23.904","15.134",
"1/28/1979","-80.3125","25.7588996887207","2","22.655","13.427",
"1/29/1979","-80.3125","25.7588996887207","2","18.262","8.87299999999999",
"1/30/1979","-80.3125","25.7588996887207","2","19.916","9.82900000000001",
"1/31/1979","-80.3125","25.7588996887207","2","25.517","14.157",
"2/1/1979","-80.3125","25.7588996887207","2","14.873","6.39600000000002",
"2/2/1979","-80.3125","25.7588996887207","2","18.262","7.05799999999999",
"2/3/1979","-80.3125","25.7588996887207","2","22.086","12.42",
"2/4/1979","-80.3125","25.7588996887207","2","24.876","14.554",
"2/5/1979","-80.3125","25.7588996887207","2","25.724","15.824",
"2/6/1979","-80.3125","25.7588996887207","2","26.664","18.978",
"2/7/1979","-80.3125","25.7588996887207","2","28.349","20.98",
"2/8/1979","-80.3125","25.7588996887207","2","20.545","13.636",
"2/9/1979","-80.3125","25.7588996887207","2","20.724","11.385",
"2/10/1979","-80.3125","25.7588996887207","2","16.22","10.984",
"2/11/1979","-80.3125","25.7588996887207","2","20.017","13.734",
"2/12/1979","-80.3125","25.7588996887207","2","22.655","15.522",
"2/13/1979","-80.3125","25.7588996887207","2","21.671","14.3",
"2/14/1979","-80.3125","25.7588996887207","2","22.183","14.081",
"2/15/1979","-80.3125","25.7588996887207","2","24.169","14.907",
"2/16/1979","-80.3125","25.7588996887207","2","24.044","17.162",
"2/17/1979","-80.3125","25.7588996887207","2","26.267","18.151",
"2/18/1979","-80.3125","25.7588996887207","2","26.864","17.516",
"2/19/1979","-80.3125","25.7588996887207","2","24.784","19.893",
"2/20/1979","-80.3125","25.7588996887207","2","23.455","21.036",
"2/21/1979","-80.3125","25.7588996887207","2","23.205","21.583",
"2/22/1979","-80.3125","25.7588996887207","2","25.983","22.097",
"2/23/1979","-80.3125","25.7588996887207","2","26.429","22.302",
"2/24/1979","-80.3125","25.7588996887207","2","26.93","22.693",
"2/25/1979","-80.3125","25.7588996887207","2","28.056","21.12",
"2/26/1979","-80.3125","25.7588996887207","2","20.694","15.3",
"2/27/1979","-80.3125","25.7588996887207","2","19","9.411",
"2/28/1979","-80.3125","25.7588996887207","2","22.67","13.404",
"3/1/1979","-80.3125","25.7588996887207","2","24.949","17.988",
"3/2/1979","-80.3125","25.7588996887207","2","25.766","19.694",
"3/3/1979","-80.3125","25.7588996887207","2","25.292","20.292",
"3/4/1979","-80.3125","25.7588996887207","2","26.648","21.728",
"3/5/1979","-80.3125","25.7588996887207","2","26.08","21.567",
"3/6/1979","-80.3125","25.7588996887207","2","25.839","20.773",
"3/7/1979","-80.3125","25.7588996887207","2","23.288","16.476",
"3/8/1979","-80.3125","25.7588996887207","2","24.742","12.459",
"3/9/1979","-80.3125","25.7588996887207","2","26.188","17.116",
"3/10/1979","-80.3125","25.7588996887207","2","26.394","17.865",
"3/11/1979","-80.3125","25.7588996887207","2","28.47","17.506",
"3/12/1979","-80.3125","25.7588996887207","2","22.574","15.195",
"3/13/1979","-80.3125","25.7588996887207","2","24.097","18.841",
"3/14/1979","-80.3125","25.7588996887207","2","26.545","18.555",
"3/15/1979","-80.3125","25.7588996887207","2","25.719","18.226",
"3/16/1979","-80.3125","25.7588996887207","2","20.659","18.701",
"3/17/1979","-80.3125","25.7588996887207","2","20.813","18.397",
"3/18/1979","-80.3125","25.7588996887207","2","23.389","18.079",
"3/19/1979","-80.3125","25.7588996887207","2","23.962","17.582",
"3/20/1979","-80.3125","25.7588996887207","2","25.217","15.732",
"3/21/1979","-80.3125","25.7588996887207","2","27.581","17.622",
"3/22/1979","-80.3125","25.7588996887207","2","27.686","18.212",
"3/23/1979","-80.3125","25.7588996887207","2","27.177","21.602",
"3/24/1979","-80.3125","25.7588996887207","2","28.55","21.453",
"3/25/1979","-80.3125","25.7588996887207","2","22.961","17.237",
"3/26/1979","-80.3125","25.7588996887207","2","21.724","13.839",
"3/27/1979","-80.3125","25.7588996887207","2","23.811","14.676",
"3/28/1979","-80.3125","25.7588996887207","2","24.052","18.014",
"3/29/1979","-80.3125","25.7588996887207","2","24.827","19.882",
"3/30/1979","-80.3125","25.7588996887207","2","25.232","21.214",
"3/31/1979","-80.3125","25.7588996887207","2","25.509","21.224",
"4/1/1979","-80.3125","25.7588996887207","2","25.27","21.957",
"4/2/1979","-80.3125","25.7588996887207","2","27.965","22.25",
"4/3/1979","-80.3125","25.7588996887207","2","27.274","22.841",
"4/4/1979","-80.3125","25.7588996887207","2","29.545","23.104",
"4/5/1979","-80.3125","25.7588996887207","2","30.916","22.65",
"4/6/1979","-80.3125","25.7588996887207","2","29.091","20.727",
"4/7/1979","-80.3125","25.7588996887207","2","25.916","19.901",
"4/8/1979","-80.3125","25.7588996887207","2","26.354","20.473",
"4/9/1979","-80.3125","25.7588996887207","2","29.91","20.982",
"4/10/1979","-80.3125","25.7588996887207","2","30.848","21.561",
"4/11/1979","-80.3125","25.7588996887207","2","29.253","23.73",
"4/12/1979","-80.3125","25.7588996887207","2","29.139","24.211",
"4/13/1979","-80.3125","25.7588996887207","2","29.718","23.337",
"4/14/1979","-80.3125","25.7588996887207","2","30.362","22.179",
"4/15/1979","-80.3125","25.7588996887207","2","30.19","21.634",
"4/16/1979","-80.3125","25.7588996887207","2","29.602","22.155",
"4/17/1979","-80.3125","25.7588996887207","2","28.99","20.574",
"4/18/1979","-80.3125","25.7588996887207","2","28.248","21.144",
"4/19/1979","-80.3125","25.7588996887207","2","27.598","20.126",
"4/20/1979","-80.3125","25.7588996887207","2","26.811","21.152",
"4/21/1979","-80.3125","25.7588996887207","2","26.726","21.394",
"4/22/1979","-80.3125","25.7588996887207","2","25.797","21.508",
"4/23/1979","-80.3125","25.7588996887207","2","25.36","22.248",
"4/24/1979","-80.3125","25.7588996887207","2","24.069","22.422",
"4/25/1979","-80.3125","25.7588996887207","2","28.257","23.11",
"4/26/1979","-80.3125","25.7588996887207","2","30.317","22.689",
"4/27/1979","-80.3125","25.7588996887207","2","30.716","22.004",
"4/28/1979","-80.3125","25.7588996887207","2","31.059","22.024",
"4/29/1979","-80.3125","25.7588996887207","2","30.841","22.64",
"4/30/1979","-80.3125","25.7588996887207","2","28.283","22.978",
