"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature"
"1/1/1979","-73.75","45.4292984008789","21","1.76400000000001","0.880999999999972",
"1/2/1979","-73.75","45.4292984008789","21","1.70800000000003","-10.543",
"1/3/1979","-73.75","45.4292984008789","21","-11.411","-19.767",
"1/4/1979","-73.75","45.4292984008789","21","-8.70600000000002","-13.428",
"1/5/1979","-73.75","45.4292984008789","21","-10.664","-17.929",
"1/6/1979","-73.75","45.4292984008789","21","-7.32499999999999","-15.688",
"1/7/1979","-73.75","45.4292984008789","21","-3.64600000000002","-9.41800000000001",
"1/8/1979","-73.75","45.4292984008789","21","-5.10899999999998","-11.81",
"1/9/1979","-73.75","45.4292984008789","21","-7.62900000000002","-18.104",
"1/10/1979","-73.75","45.4292984008789","21","-8.74900000000002","-24.487",
"1/11/1979","-73.75","45.4292984008789","21","-22.644","-29.313",
"1/12/1979","-73.75","45.4292984008789","21","-11.897","-28.843",
"1/13/1979","-73.75","45.4292984008789","21","-4.14400000000001","-17.582",
"1/14/1979","-73.75","45.4292984008789","21","0.908000000000015","-17.496",
"1/15/1979","-73.75","45.4292984008789","21","-17.261","-24.442",
"1/16/1979","-73.75","45.4292984008789","21","-9.923","-30.918",
"1/17/1979","-73.75","45.4292984008789","21","-17.659","-36.157",
"1/18/1979","-73.75","45.4292984008789","21","-15.654","-25.142",
"1/19/1979","-73.75","45.4292984008789","21","-20.235","-28.702",
"1/20/1979","-73.75","45.4292984008789","21","-9.08199999999999","-28.468",
"1/21/1979","-73.75","45.4292984008789","21","-2.48599999999999","-8.95600000000002",
"1/22/1979","-73.75","45.4292984008789","21","-3.35000000000002","-6.88900000000001",
"1/23/1979","-73.75","45.4292984008789","21","-6.774","-18.356",
"1/24/1979","-73.75","45.4292984008789","21","-0.884999999999991","-12.43",
"1/25/1979","-73.75","45.4292984008789","21","0.728999999999985","-1.89100000000002",
"1/26/1979","-73.75","45.4292984008789","21","0.891999999999996","0.634999999999991",
"1/27/1979","-73.75","45.4292984008789","21","0.899999999999977","0.0269999999999868",
"1/28/1979","-73.75","45.4292984008789","21","0.911000000000001","0.663999999999987",
"1/29/1979","-73.75","45.4292984008789","21","0.898000000000025","-3.697",
"1/30/1979","-73.75","45.4292984008789","21","-4.358","-6.34699999999998",
"1/31/1979","-73.75","45.4292984008789","21","-6.423","-8.69900000000001",
"2/1/1979","-73.75","45.4292984008789","21","-8.07799999999997","-10.674",
"2/2/1979","-73.75","45.4292984008789","21","-10.328","-15.355",
"2/3/1979","-73.75","45.4292984008789","21","-14.741","-19.791",
"2/4/1979","-73.75","45.4292984008789","21","-10.385","-26.484",
"2/5/1979","-73.75","45.4292984008789","21","-10.536","-19.963",
"2/6/1979","-73.75","45.4292984008789","21","-19.228","-24.72",
"2/7/1979","-73.75","45.4292984008789","21","-14.766","-29.887",
"2/8/1979","-73.75","45.4292984008789","21","-11.69","-19.249",
"2/9/1979","-73.75","45.4292984008789","21","-19.563","-26.331",
"2/10/1979","-73.75","45.4292984008789","21","-23.347","-31.838",
"2/11/1979","-73.75","45.4292984008789","21","-25.492","-31.128",
"2/12/1979","-73.75","45.4292984008789","21","-18.108","-30.519",
"2/13/1979","-73.75","45.4292984008789","21","-23.63","-30.951",
"2/14/1979","-73.75","45.4292984008789","21","-23.906","-31.712",
"2/15/1979","-73.75","45.4292984008789","21","-20.664","-29.98",
"2/16/1979","-73.75","45.4292984008789","21","-19.096","-26.298",
"2/17/1979","-73.75","45.4292984008789","21","-23.599","-31.289",
"2/18/1979","-73.75","45.4292984008789","21","-18.225","-33.68",
"2/19/1979","-73.75","45.4292984008789","21","-9.51299999999998","-29.134",
"2/20/1979","-73.75","45.4292984008789","21","-3.142","-15.251",
"2/21/1979","-73.75","45.4292984008789","21","0.908000000000015","-5.22800000000001",
