"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind"
"1/1/1979","-35","-7.96184015274048","98","29.924","23.93","0.092697012","4.01034978313193",
"1/2/1979","-35","-7.96184015274048","98","28.695","23.815","3.554246376","3.82198151735802",
"1/3/1979","-35","-7.96184015274048","98","29.99","23.119","1.551818628","3.8488032694492",
"1/4/1979","-35","-7.96184015274048","98","29.907","21.935","0.2798083944","3.56338239280734",
"1/5/1979","-35","-7.96184015274048","98","30.731","21.973","0","2.94324893933533",
"1/6/1979","-35","-7.96184015274048","98","30.968","21.18","0","3.05349073069315",
"1/7/1979","-35","-7.96184015274048","98","30.983","19.867","0","3.13866770126747",
"1/8/1979","-35","-7.96184015274048","98","31.188","23.326","0.10299672","3.2682575935839",
"1/9/1979","-35","-7.96184015274048","98","31.276","21.87","0","3.32720035184398",
"1/10/1979","-35","-7.96184015274048","98","31.094","21.635","0.042915348","2.83755874929004",
"1/11/1979","-35","-7.96184015274048","98","31.315","23.848","0.384521688","3.72511277085515",
"1/12/1979","-35","-7.96184015274048","98","29.966","21.937","1.1956215024","2.46310953076287",
"1/13/1979","-35","-7.96184015274048","98","30.742","23.207","0.624847068","3.65466600327734",
"1/14/1979","-35","-7.96184015274048","98","29.806","24.432","9.848215692","3.13864709732443",
"1/15/1979","-35","-7.96184015274048","98","28.831","23.5","9.60788916","2.75106678074162",
"1/16/1979","-35","-7.96184015274048","98","28.007","23.056","9.7374843","2.42660105743248",
"1/17/1979","-35","-7.96184015274048","98","27.417","22.576","8.59851612","2.12476192459265",
"1/18/1979","-35","-7.96184015274048","98","29.992","22.359","0","3.0176891831327",
"1/19/1979","-35","-7.96184015274048","98","30.012","23.577","1.179314208","3.02896539576559",
"1/20/1979","-35","-7.96184015274048","98","30.449","23.465","0.2489091696","3.28908330245532",
"1/21/1979","-35","-7.96184015274048","98","30.786","22.247","0","3.14888265061881",
"1/22/1979","-35","-7.96184015274048","98","30.553","22.219","1.737212868","2.76105158996784",
"1/23/1979","-35","-7.96184015274048","98","30.309","23.596","6.7016591784","3.05645969733701",
"1/24/1979","-35","-7.96184015274048","98","28.354","23.642","16.5575990664","2.87207500458748",
"1/25/1979","-35","-7.96184015274048","98","27.595","23.143","20.4869268","2.97132304285528",
"1/26/1979","-35","-7.96184015274048","98","29.189","23.643","1.825618788","3.2582905288453",
"1/27/1979","-35","-7.96184015274048","98","28.493","23.605","10.986327864","3.08407524003849",
"1/28/1979","-35","-7.96184015274048","98","29.434","24.015","1.912308372","3.70313988800684",
"1/29/1979","-35","-7.96184015274048","98","27.269","23.813","4.44860784","2.68256179126149",
"1/30/1979","-35","-7.96184015274048","98","29.458","21.401","1.253986488","2.66303219647438",
"1/31/1979","-35","-7.96184015274048","98","30.503","22.823","0.032615676","2.86746943587631",
"2/1/1979","-35","-7.96184015274048","98","30.312","24.27","0.559616184","3.5526221043111",
"2/2/1979","-35","-7.96184015274048","98","30.804","23.697","0.054931644","3.41901603073885",
"2/3/1979","-35","-7.96184015274048","98","27.2","23.394","3.424647636","2.71060208454578",
"2/4/1979","-35","-7.96184015274048","98","28.521","22.277","6.76775376","2.31356791720589",
"2/5/1979","-35","-7.96184015274048","98","24.562","23.237","6.16607388","1.80727169209182",
"2/6/1979","-35","-7.96184015274048","98","26.464","23.114","7.261276356","2.24836212720116",
"2/7/1979","-35","-7.96184015274048","98","29.619","22.699","1.6548153768","2.77595185873259",
"2/8/1979","-35","-7.96184015274048","98","28.633","23.499","2.810097504","2.25029524430633",
"2/9/1979","-35","-7.96184015274048","98","30.272","23.029","0","2.80889189611079",
"2/10/1979","-35","-7.96184015274048","98","30.538","22.681","0.048065184","3.03905555067441",
"2/11/1979","-35","-7.96184015274048","98","30.733","23.096","0.106430148","3.08976351338801",
"2/12/1979","-35","-7.96184015274048","98","28.91","21.82","8.572769208","2.58207953315937",
"2/13/1979","-35","-7.96184015274048","98","27.485","22.023","14.74485552","2.07610583971664",
"2/14/1979","-35","-7.96184015274048","98","27.364","21.183","14.50281456","2.10469047456885",
"2/15/1979","-35","-7.96184015274048","98","29.885","22.789","1.795578048","2.71588980227986",
"2/16/1979","-35","-7.96184015274048","98","30.558","23.436","0.6866453304","2.75085555843285",
"2/17/1979","-35","-7.96184015274048","98","30.638","23.967","0.06694794","3.11833295918814",
"2/18/1979","-35","-7.96184015274048","98","29.755","21.61","0.379371744","2.77841637445027",
"2/19/1979","-35","-7.96184015274048","98","30.384","21.467","0.8033750424","2.65897232402362",
"2/20/1979","-35","-7.96184015274048","98","29.32","23.638","6.2888119416","2.65378742897043",
"2/21/1979","-35","-7.96184015274048","98","29.425","22.217","2.26077948","2.41708740847968",
"2/22/1979","-35","-7.96184015274048","98","30.23","20.931","1.8934246224","2.1544519126531",
"2/23/1979","-35","-7.96184015274048","98","29.247","21.863","5.578992252","2.56978388882669",
"2/24/1979","-35","-7.96184015274048","98","27.184","22.518","15.23495196","2.66574774156919",
"2/25/1979","-35","-7.96184015274048","98","26.241","22.404","18.58233888","1.95460569461994",
"2/26/1979","-35","-7.96184015274048","98","26.499","21.52","16.88118084","1.69840155194478",
