"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature"
"1/1/1979","12.5","41.994800567627","16","12.554","6.70800000000003",
"1/2/1979","12.5","41.994800567627","16","6.423","-3.58699999999999",
"1/3/1979","12.5","41.994800567627","16","1.91800000000001","-5.92700000000002",
"1/4/1979","12.5","41.994800567627","16","8.608","-1.54899999999998",
"1/5/1979","12.5","41.994800567627","16","8.49599999999998","0.848000000000013",
"1/6/1979","12.5","41.994800567627","16","8.88200000000001","4.12400000000002",
"1/7/1979","12.5","41.994800567627","16","9.34399999999999","1.303",
"1/8/1979","12.5","41.994800567627","16","10.24","1.21199999999999",
"1/9/1979","12.5","41.994800567627","16","11.018","7.83800000000002",
"1/10/1979","12.5","41.994800567627","16","11.701","6.05900000000003",
"1/11/1979","12.5","41.994800567627","16","7.76100000000002","2.19200000000001",
"1/12/1979","12.5","41.994800567627","16","2.19499999999999","-7.952",
"1/13/1979","12.5","41.994800567627","16","1.62400000000002","-2.34300000000002",
"1/14/1979","12.5","41.994800567627","16","1.62900000000002","-3.66000000000003",
"1/15/1979","12.5","41.994800567627","16","1.31900000000002","-5.84399999999999",
"1/16/1979","12.5","41.994800567627","16","1.399","-3.87200000000001",
"1/17/1979","12.5","41.994800567627","16","1.17099999999999","-4.78800000000001",
"1/18/1979","12.5","41.994800567627","16","1.22800000000001","-5.65899999999999",
"1/19/1979","12.5","41.994800567627","16","2.25299999999999","-3.43400000000003",
"1/20/1979","12.5","41.994800567627","16","3.03899999999999","0.261000000000024",
"1/21/1979","12.5","41.994800567627","16","3.87299999999999","2.67500000000001",
"1/22/1979","12.5","41.994800567627","16","4.25799999999998","3.21699999999998",
"1/23/1979","12.5","41.994800567627","16","4.09399999999999","3.28399999999999",
"1/24/1979","12.5","41.994800567627","16","4.017","2.72800000000001",
"1/25/1979","12.5","41.994800567627","16","3.868","3.053",
"1/26/1979","12.5","41.994800567627","16","3.21199999999999","-3.12599999999998",
"1/27/1979","12.5","41.994800567627","16","5.04700000000003","3.303",
"1/28/1979","12.5","41.994800567627","16","7.26799999999997","4.34199999999998",
"1/29/1979","12.5","41.994800567627","16","4.68299999999999","2.642",
"1/30/1979","12.5","41.994800567627","16","3.17700000000002","-3.726",
"1/31/1979","12.5","41.994800567627","16","2.50900000000001","-2.78699999999998",
"2/1/1979","12.5","41.994800567627","16","2.65499999999997","-2.68299999999999",
"2/2/1979","12.5","41.994800567627","16","3.66300000000001","2.60000000000002",
"2/3/1979","12.5","41.994800567627","16","4.41800000000001","3.54500000000002",
"2/4/1979","12.5","41.994800567627","16","3.661","2.32999999999998",
"2/5/1979","12.5","41.994800567627","16","3.97699999999998","2.60899999999998",
"2/6/1979","12.5","41.994800567627","16","3.57299999999998","2.09500000000003",
"2/7/1979","12.5","41.994800567627","16","3.62299999999999","1.86900000000003",
"2/8/1979","12.5","41.994800567627","16","2.63600000000002","1.83199999999999",
"2/9/1979","12.5","41.994800567627","16","4.243","2.12299999999999",
"2/10/1979","12.5","41.994800567627","16","10.364","1.118",
"2/11/1979","12.5","41.994800567627","16","7.69499999999999","3.19099999999997",
"2/12/1979","12.5","41.994800567627","16","5.37400000000002","1.63099999999997",
"2/13/1979","12.5","41.994800567627","16","3.71800000000002","2.822",
"2/14/1979","12.5","41.994800567627","16","3.30599999999998","-4.98700000000002",
"2/15/1979","12.5","41.994800567627","16","3.55099999999999","-5.07400000000001",
"2/16/1979","12.5","41.994800567627","16","4.30200000000002","2.67700000000002",
"2/17/1979","12.5","41.994800567627","16","5.92099999999999","2.56200000000001",
"2/18/1979","12.5","41.994800567627","16","3.23599999999999","1.97300000000001",
"2/19/1979","12.5","41.994800567627","16","2.83699999999999","1.66800000000001",
"2/20/1979","12.5","41.994800567627","16","3.01900000000001","1.81099999999998",
"2/21/1979","12.5","41.994800567627","16","2.66399999999999","1.447",
"2/22/1979","12.5","41.994800567627","16","2.27300000000002","-1.86900000000003",
"2/23/1979","12.5","41.994800567627","16","2.36000000000001","1.495",
"2/24/1979","12.5","41.994800567627","16","2.47800000000001","1.77100000000002",
"2/25/1979","12.5","41.994800567627","16","2.40699999999998","0.576999999999998",
"2/26/1979","12.5","41.994800567627","16","1.75999999999999","-3.13900000000001",
"2/27/1979","12.5","41.994800567627","16","1.70499999999998","-4.01100000000002",
"2/28/1979","12.5","41.994800567627","16","1.65699999999998","-4.74900000000002",
"3/1/1979","12.5","41.994800567627","16","2.69799999999998","-0.15100000000001",
"3/2/1979","12.5","41.994800567627","16","5.63400000000001","0.973000000000013",
"3/3/1979","12.5","41.994800567627","16","7.11200000000002","2.28899999999999",
"3/4/1979","12.5","41.994800567627","16","9.62700000000001","1.88799999999998",
"3/5/1979","12.5","41.994800567627","16","12.911","2.19",
"3/6/1979","12.5","41.994800567627","16","12.304","-1.94400000000002",
"3/7/1979","12.5","41.994800567627","16","12.353","-2.01499999999999",
"3/8/1979","12.5","41.994800567627","16","14.054","4.142",
"3/9/1979","12.5","41.994800567627","16","13.491","1.60500000000002",
"3/10/1979","12.5","41.994800567627","16","13.182","3.49400000000003",
"3/11/1979","12.5","41.994800567627","16","16.261","6.08999999999998",
"3/12/1979","12.5","41.994800567627","16","14.772","6.94099999999997",
"3/13/1979","12.5","41.994800567627","16","15.47","9.25200000000001",
"3/14/1979","12.5","41.994800567627","16","15.601","9.07100000000003",
"3/15/1979","12.5","41.994800567627","16","16.584","9.577",
"3/16/1979","12.5","41.994800567627","16","11.885","7.54399999999998",
"3/17/1979","12.5","41.994800567627","16","12.911","5.87099999999998",
"3/18/1979","12.5","41.994800567627","16","13.909","8.58800000000002",
"3/19/1979","12.5","41.994800567627","16","16.281","7.33300000000003",
"3/20/1979","12.5","41.994800567627","16","13.105","6.37900000000002",
"3/21/1979","12.5","41.994800567627","16","15.247","7.755",
"3/22/1979","12.5","41.994800567627","16","11.903","6.08999999999998",
"3/23/1979","12.5","41.994800567627","16","15.293","5.77499999999998",
"3/24/1979","12.5","41.994800567627","16","15.333","5.59899999999999",
"3/25/1979","12.5","41.994800567627","16","15.61","5.16399999999999",
"3/26/1979","12.5","41.994800567627","16","12.382","7.971",
"3/27/1979","12.5","41.994800567627","16","15.491","10.647",
"3/28/1979","12.5","41.994800567627","16","14.222","8.15899999999999",
"3/29/1979","12.5","41.994800567627","16","10.884","4.68400000000003",
"3/30/1979","12.5","41.994800567627","16","9.96699999999998","1.18700000000001",
"3/31/1979","12.5","41.994800567627","16","11.74","2.86900000000003",
"4/1/1979","12.5","41.994800567627","16","13.718","3.85700000000003",
"4/2/1979","12.5","41.994800567627","16","13.616","3.327",
"4/3/1979","12.5","41.994800567627","16","14.661","2.34300000000002",
"4/4/1979","12.5","41.994800567627","16","12.962","7.24799999999999",
"4/5/1979","12.5","41.994800567627","16","12.507","3.61000000000001",
"4/6/1979","12.5","41.994800567627","16","11.588","3.476",
"4/7/1979","12.5","41.994800567627","16","10.555","2.27199999999999",
"4/8/1979","12.5","41.994800567627","16","14.787","3.45999999999998",
"4/9/1979","12.5","41.994800567627","16","16.398","3.67099999999999",
"4/10/1979","12.5","41.994800567627","16","15.001","5.74200000000002",
"4/11/1979","12.5","41.994800567627","16","14.854","6.12799999999999",
"4/12/1979","12.5","41.994800567627","16","12.74","7.96499999999998",
"4/13/1979","12.5","41.994800567627","16","18.277","6.20600000000002",
"4/14/1979","12.5","41.994800567627","16","17.109","6.83800000000002",
"4/15/1979","12.5","41.994800567627","16","16.593","7.87599999999998",
"4/16/1979","12.5","41.994800567627","16","14.868","7.77199999999999",
