"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Wind"
"1/1/1979","-46.5625","-23.573299407959","666","26.411","18.903","2.23651231664433",
"1/2/1979","-46.5625","-23.573299407959","666","25.117","18.219","1.40017791525248",
"1/3/1979","-46.5625","-23.573299407959","666","26.147","18.305","1.83980238962895",
"1/4/1979","-46.5625","-23.573299407959","666","20.038","15.835","2.84185584949923",
"1/5/1979","-46.5625","-23.573299407959","666","20.098","13.673","2.96538950089539",
"1/6/1979","-46.5625","-23.573299407959","666","20.408","11.407","3.19969342289671",
"1/7/1979","-46.5625","-23.573299407959","666","19.249","12.972","3.43701208519494",
"1/8/1979","-46.5625","-23.573299407959","666","21.079","14.396","3.11220150930142",
"1/9/1979","-46.5625","-23.573299407959","666","20.796","13.527","3.28364951533033",
"1/10/1979","-46.5625","-23.573299407959","666","22.18","10.893","2.57248513565416",
"1/11/1979","-46.5625","-23.573299407959","666","21.49","14.873","2.39320169039452",
"1/12/1979","-46.5625","-23.573299407959","666","18.002","15.995","2.44563357025714",
"1/13/1979","-46.5625","-23.573299407959","666","21.838","15.748","3.81170576832591",
"1/14/1979","-46.5625","-23.573299407959","666","21.586","15.782","3.49047522306525",
"1/15/1979","-46.5625","-23.573299407959","666","22.9","15.545","2.95491405129512",
"1/16/1979","-46.5625","-23.573299407959","666","21.391","16.052","3.25287904879926",
"1/17/1979","-46.5625","-23.573299407959","666","23.024","15.357","3.17393108852963",
"1/18/1979","-46.5625","-23.573299407959","666","22.018","16.452","2.88523062059316",
"1/19/1979","-46.5625","-23.573299407959","666","19.116","16.574","2.98630656877541",
"1/20/1979","-46.5625","-23.573299407959","666","18.523","17.392","2.85186576408083",
"1/21/1979","-46.5625","-23.573299407959","666","18.328","16.403","2.85131509087439",
"1/22/1979","-46.5625","-23.573299407959","666","18.368","15.901","3.29118159123319",
"1/23/1979","-46.5625","-23.573299407959","666","22.666","15.528","3.24145340268324",
"1/24/1979","-46.5625","-23.573299407959","666","25.549","13.388","2.0782116868778",
"1/25/1979","-46.5625","-23.573299407959","666","27.302","17.501","1.69707079681202",
"1/26/1979","-46.5625","-23.573299407959","666","26.988","17.319","1.69167107557482",
"1/27/1979","-46.5625","-23.573299407959","666","27.205","16.306","2.49295164667058",
"1/28/1979","-46.5625","-23.573299407959","666","24.489","18.377","4.35055919845365",
"1/29/1979","-46.5625","-23.573299407959","666","20.237","15.996","3.05019831003867",
"1/30/1979","-46.5625","-23.573299407959","666","21.903","13.631","2.46168068165806",
"1/31/1979","-46.5625","-23.573299407959","666","19.042","13.652","2.83351813968133",
"2/1/1979","-46.5625","-23.573299407959","666","18.947","15.59","2.96622402021036",
"2/2/1979","-46.5625","-23.573299407959","666","20.569","17.542","2.73493031962607",
"2/3/1979","-46.5625","-23.573299407959","666","24.168","17.895","2.72128926428477",
"2/4/1979","-46.5625","-23.573299407959","666","22.791","17.882","1.68935010074836",
