"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind"
"1/1/1979","151.25","-33.8768005371094","1","27.217","23.078","0","5.95369732023376",
"1/2/1979","151.25","-33.8768005371094","1","25.304","19.281","0.0377655048","5.13499715404274",
"1/3/1979","151.25","-33.8768005371094","1","19.835","18.534","2.0384776944","3.88861355238058",
"1/4/1979","151.25","-33.8768005371094","1","22.882","19.02","0.1321792488","4.21868916042152",
"1/5/1979","151.25","-33.8768005371094","1","26.458","18.899","0","6.10105743124193",
"1/6/1979","151.25","-33.8768005371094","1","32.385","21.776","0","5.0364897450509",
"1/7/1979","151.25","-33.8768005371094","1","29.285","22.117","0.171661356","3.6659196027271",
"1/8/1979","151.25","-33.8768005371094","1","27.726","22.083","0.22144338","3.7347349708711",
"1/9/1979","151.25","-33.8768005371094","1","32.147","21.061","0","5.71734245517337",
"1/10/1979","151.25","-33.8768005371094","1","34.932","22.19","0.04978188","5.61072711535971",
"1/11/1979","151.25","-33.8768005371094","1","28.868","19.807","1.188755244","4.6275518905508",
"1/12/1979","151.25","-33.8768005371094","1","22.81","19.303","0.792217188","3.49189359366535",
"1/13/1979","151.25","-33.8768005371094","1","20.269","16.946","0.721836108","2.53614994733148",
"1/14/1979","151.25","-33.8768005371094","1","28.723","16.991","0","5.22553114956546",
"1/15/1979","151.25","-33.8768005371094","1","28.945","20.6","0.628280748","6.26851755887231",
"1/16/1979","151.25","-33.8768005371094","1","22.332","19.991","2.30884578","4.2081534425523",
"1/17/1979","151.25","-33.8768005371094","1","28.151","21.324","3.474428652","3.36389783331325",
"1/18/1979","151.25","-33.8768005371094","1","23.158","20.245","8.119580868","5.1258185922392",
"1/19/1979","151.25","-33.8768005371094","1","23.913","20.095","0.680637456","3.05281477103293",
"1/20/1979","151.25","-33.8768005371094","1","24.834","19.842","0.43172838","3.42421672467863",
"1/21/1979","151.25","-33.8768005371094","1","25.662","20.323","0.247192344","4.06472429420915",
"1/22/1979","151.25","-33.8768005371094","1","24.309","20.343","12.828255012","5.6813139730369",
"1/23/1979","151.25","-33.8768005371094","1","21.31","20.219","14.05907136","5.07734158751405",
"1/24/1979","151.25","-33.8768005371094","1","25.943","20.972","3.4126279704","3.15600024995491",
"1/25/1979","151.25","-33.8768005371094","1","28.035","22.109","0.6566050584","4.63857247110824",
"1/26/1979","151.25","-33.8768005371094","1","24.723","20.907","0.7184028528","4.73054041072412",
"1/27/1979","151.25","-33.8768005371094","1","20.89","18.332","2.665901304","5.52861046053382",
"1/28/1979","151.25","-33.8768005371094","1","21.19","17.893","4.547308212","3.68155476679354",
"1/29/1979","151.25","-33.8768005371094","1","22.937","19.001","0.647164008","2.39270107148145",
"1/30/1979","151.25","-33.8768005371094","1","25.094","18.234","0","4.04466996176892",
"1/31/1979","151.25","-33.8768005371094","1","26.716","18.942","0","2.9456655346261",
"2/1/1979","151.25","-33.8768005371094","1","26.495","21.627","0","4.64437807972932",
"2/2/1979","151.25","-33.8768005371094","1","25.711","20.436","0","4.54026599799721",
"2/3/1979","151.25","-33.8768005371094","1","25.779","20.538","0","5.8442566800189",
"2/4/1979","151.25","-33.8768005371094","1","24.45","20.337","0.3004076304","5.26347439593038",
"2/5/1979","151.25","-33.8768005371094","1","22.373","19.595","0.942420888","4.27405119967615",
"2/6/1979","151.25","-33.8768005371094","1","22.768","19.196","0.2343178872","3.59188048601985",
"2/7/1979","151.25","-33.8768005371094","1","23.583","18.308","0.3519058968","3.21398756400442",
"2/8/1979","151.25","-33.8768005371094","1","25.633","18.885","0.0343322784","2.93276794379133",
"2/9/1979","151.25","-33.8768005371094","1","25.437","18.792","0.0240325848","2.44284852393887",
"2/10/1979","151.25","-33.8768005371094","1","27.941","19.602","0","4.52445949496048",
"2/11/1979","151.25","-33.8768005371094","1","30.365","21.547","0","3.27223828726872",
"2/12/1979","151.25","-33.8768005371094","1","29.451","20.996","0.5544669528","3.50181433495999",
"2/13/1979","151.25","-33.8768005371094","1","31.15","20.652","0.511551612","4.90130115440688",
"2/14/1979","151.25","-33.8768005371094","1","25.527","19.484","0.07553088","3.27462464337475",
"2/15/1979","151.25","-33.8768005371094","1","30.54","21.457","1.91659968","2.96829919189203",
"2/16/1979","151.25","-33.8768005371094","1","23.499","18.124","0.06179796","5.28120991589394",
"2/17/1979","151.25","-33.8768005371094","1","21.428","15.291","0.48236868","4.03320928957766",
